Temp,Date
3.333333333,01-03-10
5.555555556,02-03-10
5,03-03-10
3.888888889,04-03-10
5.555555556,05-03-10
5,06-03-10
8.333333333,07-03-10
2.777777778,08-03-10
3.888888889,09-03-10
5.555555556,10-03-10
8.333333333,11-03-10
6.111111111,12-03-10
7.222222222,13-03-10
17.77777778,14-03-10
15.55555556,15-03-10
10,16-03-10
14.44444444,17-03-10
17.77777778,18-03-10
7.222222222,19-03-10
3.888888889,20-03-10
10,21-03-10
12.77777778,22-03-10
16.11111111,23-03-10
12.77777778,24-03-10
5.555555556,25-03-10
10.55555556,26-03-10
11.11111111,27-03-10
11.11111111,28-03-10
15,29-03-10
23.88888889,30-03-10
24.44444444,31-03-10
27.22222222,01-04-10
22.22222222,02-04-10
16.11111111,03-04-10
19.44444444,04-04-10
15.55555556,05-04-10
11.11111111,06-04-10
13.33333333,07-04-10
11.11111111,08-04-10
19.44444444,09-04-10
17.22222222,10-04-10
20.55555556,11-04-10
20,12-04-10
20.55555556,13-04-10
23.33333333,14-04-10
21.66666667,15-04-10
16.11111111,16-04-10
18.33333333,17-04-10
19.44444444,18-04-10
20.55555556,19-04-10
21.66666667,20-04-10
16.11111111,21-04-10
18.88888889,22-04-10
20.55555556,23-04-10
15.55555556,24-04-10
16.11111111,25-04-10
17.22222222,26-04-10
15.55555556,27-04-10
20.55555556,28-04-10
22.77777778,29-04-10
20.55555556,30-04-10
17.77777778,01-05-10
17.77777778,02-05-10
13.88888889,03-05-10
26.11111111,04-05-10
12.77777778,05-05-10
12.22222222,06-05-10
8.888888889,07-05-10
11.11111111,08-05-10
14.44444444,09-05-10
14.44444444,10-05-10
7.777777778,11-05-10
10.55555556,12-05-10
11.66666667,13-05-10
21.66666667,14-05-10
23.33333333,15-05-10
23.33333333,16-05-10
24.44444444,17-05-10
23.88888889,18-05-10
26.11111111,19-05-10
27.77777778,20-05-10
18.33333333,21-05-10
27.77777778,22-05-10
31.11111111,23-05-10
35,24-05-10
31.66666667,25-05-10
26.66666667,26-05-10
27.22222222,27-05-10
29.44444444,28-05-10
32.77777778,29-05-10
27.22222222,30-05-10
25.55555556,31-05-10
27.77777778,01-06-10
22.77777778,02-06-10
25.55555556,03-06-10
28.33333333,04-06-10
21.11111111,05-06-10
25.55555556,06-06-10
23.88888889,07-06-10
21.11111111,08-06-10
22.77777778,09-06-10
18.88888889,10-06-10
24.44444444,11-06-10
16.66666667,12-06-10
19.44444444,13-06-10
20.55555556,14-06-10
24.44444444,15-06-10
26.66666667,16-06-10
31.66666667,17-06-10
30,18-06-10
24.44444444,19-06-10
27.77777778,20-06-10
26.11111111,21-06-10
32.77777778,22-06-10
26.66666667,23-06-10
27.77777778,24-06-10
30,25-06-10
28.88888889,26-06-10
28.88888889,27-06-10
23.88888889,28-06-10
23.33333333,29-06-10
